history,counts,length,lengthsq,category
M0,1,19.29,372.10,
M0,1,18.74,351.19,
M0,1,16.92,286.29,
M0,1,20.07,402.80,
M0,1,24.29,590.00,
M0,1,19.4,376.36,
F0,1,20.51,420.66,
M0,1,24.21,586.12,
M0,1,22.28,496.40,
M0,1,19.84,393.63,
F0,1,21.73,472.19,
M0,1,20.94,438.48,
M0,1,19.25,370.56,
M0,1,15.82,250.27,
M0,1,18.77,352.31,
M0,1,17.55,308.00,
F0,1,27.2,739.84,
M0,1,21.85,477.42,
M0,1,21.65,468.72,
M0,1,16.81,282.58,
M0,1,18.07,326.52,
M0,1,20.11,404.41,
M0,1,19.09,364.43,
M0,1,17.51,306.60,
M0,1,16.96,287.64,
M0,1,15.94,254.08,
M0,1,15.9,252.81,
M0,1,17.71,313.64,
M0,1,18.66,348.20,
M0,1,20.59,423.95,
M0,1,19.48,379.47,
M0,1,23.66,559.80,
M0,1,16.73,279.89,
M0,1,16.57,274.56,
M0,1,21.92,480.49,
M0,1,19.96,398.40,
M0,1,20.27,410.87,
M0,1,17.08,291.73,
M0,1,18.5,342.25,
M0,1,20.9,436.81,
M0,1,19.72,388.88,
M0,1,21.25,451.56,
M0,1,21.29,453.26,
M0,1,16.29,265.36,
M0,1,18.14,329.06,
M0,1,20.03,401.20,
M0,1,20.07,402.80,
M0,1,16.61,275.89,
M0,1,19.29,372.10,
M0,1,18.7,349.69,
M0,1,22.83,521.21,
M0,1,21.85,477.42,
M0,1,16.81,282.58,
M0,1,19.09,364.43,
M0,1,17.63,310.82,
M0,1,18.81,353.82,
M0,1,19.6,384.16,
M0,1,17.71,313.64,
M0,1,18.62,346.70,
M0,1,23.66,559.80,
M0,1,15.94,254.08,
M0,1,20.35,414.12,
M0,1,20.07,402.80,
M0,1,19.29,372.10,
M0,1,16.73,279.89,
M0,1,19.76,390.46,
M0,1,19.29,372.10,
M0,1,19.4,376.36,
M0,1,18.07,326.52,
M0,1,23.54,554.13,
M0,1,17.87,319.34,
M0,1,22.24,494.62,
M0,1,20.51,420.66,
M0,1,20.19,407.64,
M0,1,20.9,436.81,
M0,1,16.88,284.93,
U0,1,14.6,213.16,
M0,1,20.7,428.49,
M0,1,21.25,451.56,
M0,1,21.22,450.29,
M0,1,20,400.00,
M0,1,16.81,282.58,
M0,1,22.28,496.40,
M0,1,14.88,221.41,
M0,1,23.77,565.01,
MM,1,17.08,291.73,
M0,1,17.59,309.41,
M0,1,22.83,521.21,
M0,1,20.19,407.64,
M0,1,17.32,299.98,
M0,1,21.41,458.39,
M0,1,23.46,550.37,
M0,1,21.14,446.90,
M0,1,22,484.00,
M0,1,19.4,376.36,
M0,1,20.98,440.16,
M0,1,20.78,431.81,
M0,1,19.29,372.10,
M0,1,18.3,334.89,
M0,1,18.62,346.70,
M0,1,18.7,349.69,
M0,1,20.62,425.18,
M0,1,20.78,431.81,
M0,1,19.56,382.59,
M0,1,20.23,409.25,
M0,1,20.07,402.80,
M0,1,20.47,419.02,
M0,1,22.51,506.70,
M0,1,20.07,402.80,
M0,1,21.25,451.56,
M0,1,17.36,301.37,
M0,1,20.7,428.49,
M0,1,17.75,315.06,
M0,1,20.86,435.14,
M0,1,17.75,315.06,
M0,1,15.55,241.80,
M0,1,22.79,519.38,
M0,1,20.86,435.14,
M0,1,17.63,310.82,
M0,1,22.87,523.04,
M0,1,17.24,297.22,
M0,1,19.92,396.81,
M0,1,18.89,356.83,
M0,1,21.45,460.10,
M0,1,17.12,293.09,
M0,1,18.46,340.77,
M0,1,15.74,247.75,
M0,1,16.57,274.56,
M0,1,16.88,284.93,
M0,1,17.91,320.77,
M0,1,14.76,217.86,
M0,1,19.56,382.59,
M0,1,19.84,393.63,
M0,1,19.4,376.36,
M0,1,22.24,494.62,
M0,1,18.14,329.06,
M0,1,16.18,261.79,
M0,1,15.43,238.08,
M0,1,22.75,517.56,
M0,1,20.31,412.50,
M0,1,24.4,595.36,
FF,1,23.62,557.90,
M0,1,20.15,406.02,
M0,1,16.53,273.24,
M0,1,16.33,266.67,
M0,1,21.73,472.19,
M0,1,20.7,428.49,
M0,1,17.2,295.84,
F0,1,24.44,597.31,
M0,1,19.29,372.10,
M0,1,20.47,419.02,
M0,1,18.66,348.20,
M0,1,20.39,415.75,
M0,1,19.29,372.10,
M0,1,15.74,247.75,
M0,1,18.58,345.22,
M0,1,16.73,279.89,
M0,1,16.14,260.50,
M0,1,19.64,385.73,
M0,1,19.48,379.47,
M0,1,17.32,299.98,
M0,1,16.02,256.64,
M0,1,17.2,295.84,
M0,1,15.98,255.36,
M0,1,17.71,313.64,
M0,1,20.62,425.18,
F0,1,18.66,348.20,
M0,1,21.22,450.29,
M0,1,20.07,402.80,
M0,1,20.23,409.25,
FF,1,25.74,662.55,
M0,1,18.07,326.52,
M0,1,19.33,373.65,
M0,1,20.47,419.02,
M0,1,20.78,431.81,
M0,1,20.86,435.14,
M0,1,18.85,355.32,
M0,1,20.78,431.81,
M0,1,16.53,273.24,
M0,1,20.07,402.80,
M0,1,22.04,485.76,
M0,1,17.36,301.37,
M0,1,21.18,448.59,
M0,1,21.06,443.52,
M0,1,20.7,428.49,
M0,1,17,289.00,
M0,1,17.55,308.00,
M0,1,18.85,355.32,
M0,1,15.43,238.08,
M0,1,19.92,396.81,
M0,1,18.97,359.86,
M0,1,20.35,414.12,
F0,1,19.33,373.65,
M0,1,17.71,313.64,
M0,1,17.16,294.47,
M0,1,19.96,398.40,
M0,1,19.72,388.88,
M0,1,23.5,552.25,
M0,1,23.26,541.03,
M0,1,23.22,539.17,
M0,1,19.13,365.96,
M0,1,21.65,468.72,
M0,1,18.22,331.97,
FF,1,21.02,441.84,
M0,1,17.63,310.82,
M0,1,17.87,319.34,
M0,1,20.39,415.75,
M0,1,15.86,251.54,
M0,1,16.96,287.64,
M0,1,15.98,255.36,
M0,1,16.96,287.64,
M0,1,20.31,412.50,
M0,1,17.2,295.84,
M0,1,16.49,271.92,
M0,1,19.4,376.36,
M0,1,21.69,470.46,
M0,1,21.02,441.84,
M0,1,20.15,406.02,
FF,1,22.36,499.97,
M0,1,15.66,245.24,
M0,1,19.25,370.56,
M0,1,14.6,213.16,
M0,1,17.71,313.64,
M0,1,16.53,273.24,
M0,1,20.94,438.48,
M0,1,16.73,279.89,
M0,1,18.11,327.97,
M0,1,17.48,305.55,
M0,1,16.81,282.58,
M0,1,18.97,359.86,
F0,1,23.42,548.50,
F0,1,15.78,249.01,
M0,1,17.12,293.09,
M0,1,18.89,356.83,
F0,1,15.98,255.36,
M0,1,17.71,313.64,
M0,1,15.62,243.98,
M0,1,19.72,388.88,
M0,1,18.66,348.20,
M0,1,15.39,236.85,
M0,1,21.02,441.84,
M0,1,19.09,364.43,
M0,1,21.25,451.56,
M0,1,23.62,557.90,
F0,1,26.61,708.09,
M0,1,20.27,410.87,
M0,1,15.51,240.56,
M0,1,19.33,373.65,
M0,1,20.15,406.02,
M0,1,20.03,401.20,
M0,1,20.43,417.38,
M0,1,19.4,376.36,
M0,1,19.56,382.59,
M0,1,22.44,503.55,
M0,1,19.96,398.40,
F0,1,21.02,441.84,
M0,1,21.85,477.42,
M0,1,22.87,523.04,
M0,1,22.91,524.87,
M0,1,16.14,260.50,
M0,1,18.97,359.86,
M0,1,20.31,412.50,
M0,1,22.44,503.55,
M0,1,19.6,384.16,
M0,1,15.86,251.54,
M0,1,23.34,544.76,
M0,1,19.84,393.63,
M0,1,20.27,410.87,
M0,1,20.03,401.20,
M0,1,18.66,348.20,
M0,1,19.64,385.73,
M0,1,18.93,358.34,
M0,1,20.07,402.80,
M0,1,22.87,523.04,
M0,1,19.6,384.16,
F0,1,21.53,463.54,
M0,1,21.14,446.90,
MM,1,19.13,365.96,
M0,1,20.27,410.87,
M0,1,20.7,428.49,
M0,1,20.66,426.84,
M0,1,22.08,487.53,
M0,1,19.21,369.02,
M0,1,21.85,477.42,
M0,1,21.85,477.42,
M0,1,20.35,414.12,
M0,1,17.16,294.47,
F0,1,22.48,505.35,
M0,1,22.08,487.53,
M0,1,21.33,454.97,
M0,1,18.93,358.34,
M0,1,22.28,496.40,
M0,1,21.49,461.82,
M0,1,18.81,353.82,
M0,1,20.86,435.14,
M0,1,20.94,438.48,
M0,1,16.41,269.29,
M0,1,20.15,406.02,
M0,1,22,484.00,
M0,1,22.83,521.21,
F0,1,20.7,428.49,
F0,1,19.09,364.43,
M0,1,22.99,528.54,
M0,1,19.29,372.10,
M0,1,18.07,326.52,
M0,1,20.31,412.50,
M0,1,15.9,252.81,
M0,1,22.28,496.40,
M0,1,21.33,454.97,
M0,1,22.55,508.50,
M0,1,22.28,496.40,
M0,1,22.75,517.56,
M0,1,15.74,247.75,
M0,1,19.05,362.90,
M0,1,18.77,352.31,
M0,1,14.44,208.51,
M0,1,23.85,568.82,
M0,1,20.19,407.64,
MM,1,19.76,390.46,
M0,1,21.18,448.59,
MM,1,18.03,325.08,
M0,1,14.01,196.28,
M0,1,17.24,297.22,
M0,1,21.06,443.52,
M0,1,17.63,310.82,
M0,1,18.54,343.73,
M0,1,20.82,433.47,
M0,1,22.79,519.38,
M0,1,22.2,492.84,
M0,1,22.24,494.62,
M0,1,19.84,393.63,
M0,1,21.53,463.54,
M0,1,21.02,441.84,
F0,1,19.68,387.30,
M0,1,22.04,485.76,
M0,1,17.08,291.73,
M0,1,21.1,445.21,
M0,1,19.8,392.04,
M0,1,21.92,480.49,
M0,1,15.94,254.08,
M0,1,18.97,359.86,
M0,1,16.45,270.60,
M0,1,19.6,384.16,
U0,1,25,625.00,
M0,1,17.67,312.23,
M0,1,18.34,336.36,
M0,1,17.4,302.76,
M0,1,19.37,375.20,
M0,1,18.5,342.25,
M0,1,16.29,265.36,
M0,1,17.24,297.22,
M0,1,20.31,412.50,
M0,1,18.5,342.25,
M0,1,20.11,404.41,
M0,1,18.38,337.82,
M0,1,24.37,593.90,
F0,1,23.74,563.59,
M0,1,22.24,494.62,
M0,1,22.55,508.50,
F0,1,22.16,491.07,
M0,1,20.47,419.02,
M0,1,20.98,440.16,
M0,1,18.46,340.77,
M0,1,17.48,305.55,
M0,1,20.94,438.48,
M0,1,20.47,419.02,
M0,1,18.97,359.86,
F0,1,18.03,325.08,
M0,1,22.55,508.50,
M0,1,17.79,316.48,
M0,1,19.92,396.81,
M0,1,21.65,468.72,
M0,1,21.49,461.82,
M0,1,19.52,381.03,
M0,1,18.18,330.51,
M0,1,19.17,367.49,
M0,1,20.62,425.18,
F0,1,24.6,605.16,
M0,1,23.18,537.31,
M0,1,20.98,440.16,
M0,1,19.48,379.47,
M0,1,23.5,552.25,
M0,1,21.1,445.21,
M0,1,20.39,415.75,
M0,1,19.48,379.47,
M0,1,19.6,384.16,
F0,1,23.7,561.69,
M0,1,19.68,387.30,
M0,1,19.6,384.16,
M0,1,15.7,246.49,
M0,1,15.19,230.74,
M0,1,22,484.00,
M0,1,20.7,428.49,
M0,1,18.3,334.89,
M0,1,18.11,327.97,
M0,1,20.39,415.75,
M0,1,21.1,445.21,
U0,1,23.7,561.69,
M0,1,21.29,453.26,
M0,1,18.18,330.51,
M0,1,16.69,278.56,
M0,1,17.51,306.60,
M0,1,20.19,407.64,
M0,1,21.81,475.68,
M0,1,19.8,392.04,
F0,1,22,484.00,
M0,1,16.69,278.56,
M0,1,15.78,249.01,
M0,1,19.8,392.04,
M0,1,23.81,566.92,
M0,1,21.81,475.68,
M0,1,21.69,470.46,
M0,1,21.81,475.68,
M0,1,19.6,384.16,
M0,1,21.88,478.73,
M0,1,19.8,392.04,
M0,1,20.51,420.66,
M0,1,15.51,240.56,
U0,1,17,289.00,
M0,1,19.4,376.36,
M0,1,16.61,275.89,
M0,1,17.28,298.60,
M0,1,21.69,470.46,
F0,1,20.47,419.02,
M0,1,16.81,282.58,
F0,1,18.81,353.82,
M0,1,20.39,415.75,
M0,1,18.18,330.51,
M0,1,17,289.00,
M0,1,19.8,392.04,
M0,1,19.68,387.30,
M0,1,19.29,372.10,
F0,1,22.59,510.31,
M0,1,17,289.00,
M0,1,20.7,428.49,
F0,1,24.01,576.48,
M0,1,21.81,475.68,
F0,1,21.1,445.21,
M0,1,19.01,361.38,
U0,1,15.98,255.36,
M0,1,20.59,423.95,
M0,1,16.81,282.58,
F0,1,22.2,492.84,
F0,1,23.11,534.07,
M0,1,20.9,436.81,
F0,1,23.18,537.31,
F0,1,23.3,542.89,
F0,1,22.4,501.76,
F0,1,20.98,440.16,
F0,1,24.4,595.36,
F0,1,24.21,586.12,
F0,1,20.9,436.81,
F0,1,20.9,436.81,
M0,1,20.98,440.16,
F0,1,22.2,492.84,
M0,1,18.18,330.51,
F0,1,22,484.00,
F0,1,22.59,510.31,
F0,1,22,484.00,
F0,1,25,625.00,
F0,1,21.88,478.73,
FF,1,21.18,448.59,
F0,1,21.18,448.59,
F0,1,23.81,566.92,
F0,1,23.89,570.73,
M0,1,22.99,528.54,
F0,1,25.98,674.96,
M0,1,19.6,384.16,
F0,1,26.81,718.78,
F0,1,25.11,630.51,
F0,1,22.28,496.40,
F0,1,23.58,556.02,
F0,1,24.88,619.01,
F0,1,23.3,542.89,
F0,1,22.99,528.54,
F0,1,26.88,722.53,
F0,1,23.3,542.89,
F0,1,23.5,552.25,
F0,1,22.79,519.38,
M0,1,24.6,605.16,
F0,1,22.2,492.84,
M0,1,22,484.00,
M0,1,20,400.00,
F0,1,20.59,423.95,
F0,1,24.6,605.16,
F0,1,21.49,461.82,
F0,1,27,729.00,
F0,1,24.01,576.48,
F0,1,21.41,458.39,
F0,1,22.79,519.38,
M0,1,21.29,453.26,
F0,1,22.91,524.87,
M0,1,21.61,466.99,
F0,1,22.99,528.54,
F0,1,21.61,466.99,
F0,1,22.28,496.40,
M0,1,23.3,542.89,
F0,1,19.29,372.10,
M0,1,19.01,361.38,
M0,1,21.1,445.21,
F0,1,22.91,524.87,
M0,1,17.91,320.77,
M0,1,20.31,412.50,
M0,1,20.11,404.41,
F0,1,21.81,475.68,
FF,1,21.69,470.46,
F0,1,21.69,470.46,
F0,1,22.91,524.87,
F0,1,20.78,431.81,
F0,1,24.6,605.16,
F0,1,21.88,478.73,
M0,1,16.61,275.89,
U0,1,20.51,420.66,
F0,1,22.12,489.29,
M0,1,18.93,358.34,
M0,1,20.51,420.66,
F0,1,19.48,379.47,
M0,1,20.27,410.87,
M0,1,17.55,308.00,
M0,1,22.71,515.74,
U0,1,17.83,317.91,
M0,1,19.4,376.36,
M0,1,16.33,266.67,
M0,1,19.48,379.47,
M0,1,22.44,503.55,
M0,1,19.52,381.03,
M0,1,19.37,375.20,
M0,1,18.85,355.32,
M0,1,18.7,349.69,
U0,1,17.36,301.37,
F0,1,21.85,477.42,
M0,1,19.13,365.96,
MM,1,17.99,323.64,
M0,1,21.18,448.59,
U0,1,15.39,236.85,
M0,1,20.27,410.87,
M0,1,21.96,482.24,
M0,1,16.77,281.23,
M0,1,20.78,431.81,
M0,1,15.66,245.24,
M0,1,23.74,563.59,
M0,1,18.93,358.34,
M0,1,20.9,436.81,
M0,1,18.22,331.97,
M0,1,18.77,352.31,
M0,1,23.85,568.82,
M0,1,19.72,388.88,
M0,1,20.86,435.14,
M0,1,22.4,501.76,
M0,1,18.46,340.77,
M0,1,20.15,406.02,
M0,1,18.54,343.73,
M0,1,16.02,256.64,
M0,1,20,400.00,
M0,1,16.57,274.56,
M0,1,19.48,379.47,
M0,1,17.28,298.60,
M0,1,18.81,353.82,
M0,1,20.59,423.95,
F0,1,24.01,576.48,
M0,1,20.55,422.30,
M0,1,15.74,247.75,
M0,1,20.43,417.38,
M0,1,20.86,435.14,
M0,1,22.83,521.21,
M0,1,20.27,410.87,
F0,1,23.62,557.90,
M0,1,18.89,356.83,
M0,1,18.26,333.43,
M0,1,18.5,342.25,
F0,1,23.93,572.64,
F0,1,24.6,605.16,
F0,1,17.75,315.06,
M0,1,22.83,521.21,
F0,1,25.31,640.60,
MM,1,17.91,320.77,
M0,1,16.92,286.29,
F0,1,21.41,458.39,
M0,1,17.67,312.23,
F0,1,22.24,494.62,
F0,1,16.45,270.60,
M0,1,19.76,390.46,
M0,1,20.47,419.02,
M0,1,23.62,557.90,
M0,1,20.39,415.75,
M0,1,20.9,436.81,
M0,1,19.6,384.16,
M0,1,20.86,435.14,
F0,1,26.77,716.63,
M0,1,20.74,430.15,
M0,1,15.15,229.52,
M0,1,20.94,438.48,
M0,1,16.92,286.29,
M0,1,17,289.00,
F0,1,23.11,534.07,
M0,1,21.41,458.39,
M0,1,19.44,377.91,
M0,1,21.73,472.19,
M0,1,17.71,313.64,
M0,1,16.92,286.29,
M0,1,19.68,387.30,
M0,1,21.06,443.52,
M0,1,21.06,443.52,
M0,1,22.59,510.31,
M0,1,21.06,443.52,
M0,1,18.5,342.25,
M0,1,17.63,310.82,
F0,1,21.14,446.90,
M0,1,20.07,402.80,
M0,1,19.17,367.49,
M0,1,20.15,406.02,
M0,1,20.86,435.14,
M0,1,18.18,330.51,
M0,1,18.3,334.89,
M0,1,19.37,375.20,
M0,1,16.73,279.89,
M0,1,19.4,376.36,
M0,1,18.18,330.51,
M0,1,22.04,485.76,
M0,1,21.1,445.21,
M0,1,21.65,468.72,
F0,1,18.11,327.97,
M0,1,17.91,320.77,
F0,1,22.44,503.55,
M0,1,19.68,387.30,
F0,1,22.83,521.21,
M0,1,22.04,485.76,
F0,1,24.09,580.33,
M0,1,21.25,451.56,
M0,1,21.25,451.56,
M0,1,19.29,372.10,
M0,1,20.86,435.14,
M0,1,20.07,402.80,
M0,1,17.63,310.82,
M0,1,19.68,387.30,
M0,1,21.85,477.42,
M0,1,21.25,451.56,
M0,1,16.69,278.56,
M0,1,19.56,382.59,
M0,1,20.86,435.14,
M0,1,16.92,286.29,
M0,1,19.88,395.21,
M0,1,21.06,443.52,
F0,1,25.19,634.54,
M0,1,16.33,266.67,
M0,1,18.89,356.83,
M0,1,16.14,260.50,
M0,1,22.48,505.35,
M0,1,20.78,431.81,
M0,1,21.49,461.82,
M0,1,18.42,339.30,
M0,1,18.89,356.83,
M0,1,21.81,475.68,
M0,1,23.5,552.25,
M0,1,22.36,499.97,
M0,1,20.86,435.14,
M0,1,18.5,342.25,
M0,1,22.48,505.35,
F0,1,25.39,644.65,
F0,1,24.05,578.40,
M0,1,20.19,407.64,
M0,1,19.72,388.88,
M0,1,19.88,395.21,
F0,1,23.62,557.90,
M0,1,19.68,387.30,
M0,1,20.03,401.20,
M0,1,17.44,304.15,
M0,1,16.92,286.29,
M0,1,15.9,252.81,
M0,1,19.68,387.30,
M0,1,20.62,425.18,
M0,1,20.19,407.64,
M0,1,19.92,396.81,
M0,1,21.85,477.42,
M0,1,22.79,519.38,
F0,1,19.64,385.73,
M0,1,21.45,460.10,
M0,1,19.48,379.47,
M0,1,23.26,541.03,
M0,1,15.66,245.24,
M0,1,19.92,396.81,
M0,1,17.32,299.98,
M0,1,15.98,255.36,
F0,1,26.33,693.27,
M0,1,19.72,388.88,
M0,1,19.68,387.30,
M0,1,21.57,465.26,
M0,1,20.47,419.02,
M0,1,19.68,387.30,
M0,1,17.08,291.73,
F0,1,17.32,299.98,
M0,1,19.25,370.56,
M0,1,19.09,364.43,
M0,1,17.55,308.00,
M0,1,19.8,392.04,
M0,1,20.82,433.47,
M0,1,19.09,364.43,
M0,1,16.02,256.64,
M0,1,18.26,333.43,
M0,1,21.25,451.56,
F0,1,26.96,726.84,
M0,1,17.48,305.55,
M0,1,22.44,503.55,
M0,1,19.88,395.21,
M0,1,20.11,404.41,
M0,1,22.51,506.70,
M0,1,19.05,362.90,
M0,1,19.72,388.88,
M0,1,22.24,494.62,
M0,1,21.65,468.72,
M0,1,22.32,498.18,
M0,1,19.21,369.02,
M0,1,20.47,419.02,
M0,1,15.27,233.17,
M0,1,17.75,315.06,
M0,1,21.61,466.99,
M0,1,15.78,249.01,
M0,1,21.57,465.26,
F0,1,18.62,346.70,
M0,1,19.25,370.56,
M0,1,19.48,379.47,
M0,1,20.51,420.66,
F0,1,21.77,473.93,
M0,1,20.51,420.66,
M0,1,19.68,387.30,
M0,1,21.25,451.56,
M0,1,21.65,468.72,
M0,1,19.96,398.40,
M0,1,19.13,365.96,
M0,1,17.32,299.98,
M0,1,19.44,377.91,
M0,1,18.7,349.69,
M0,1,18.5,342.25,
M0,1,20.86,435.14,
M0,1,18.5,342.25,
M0,1,21.69,470.46,
M0,1,22.16,491.07,
M0,1,15.31,234.40,
M0,1,21.06,443.52,
M0,1,23.81,566.92,
F0,1,22.08,487.53,
M0,1,16.02,256.64,
M0,1,17.4,302.76,
F0,1,18.14,329.06,
M0,1,19.92,396.81,
F0,1,24.76,613.06,
M0,1,17.63,310.82,
F0,1,23.22,539.17,
F0,1,23.93,572.64,
M0,1,17.12,293.09,
FF,1,25.15,632.52,
F0,1,29.05,843.90,
M0,1,18.77,352.31,
F0,1,27.2,739.84,
F0,1,20.27,410.87,
M0,1,19.68,387.30,
F0,1,25.98,674.96,
F0,1,26.61,708.09,
M0,1,20.47,419.02,
F0,1,23.26,541.03,
F0,1,24.33,591.95,
M0,1,20.86,435.14,
F0,1,26.37,695.38,
M0,1,21.22,450.29,
F0,1,21.41,458.39,
M0,1,18.97,359.86,
M0,1,20.86,435.14,
F0,1,25.7,660.49,
F0,1,20.35,414.12,
F0,1,24.6,605.16,
M0,1,18.74,351.19,
M0,1,17.59,309.41,
M0,1,20.03,401.20,
M0,1,19.88,395.21,
M0,1,17.71,313.64,
FF,1,18.38,337.82,
M0,1,20.43,417.38,
M0,1,18.03,325.08,
F0,1,27.51,756.80,
M0,1,19.96,398.40,
M0,1,15.27,233.17,
M0,1,17,289.00,
M0,1,19.64,385.73,
F0,1,23.46,550.37,
M0,1,23.42,548.50,
M0,1,17.71,313.64,
M0,1,15.35,235.62,
M0,1,17.95,322.20,
M0,1,20.7,428.49,
M0,1,22.55,508.50,
M0,1,17.44,304.15,
M0,1,16.49,271.92,
M0,1,19.13,365.96,
M0,1,19.17,367.49,
M0,1,15.82,250.27,
M0,1,21.96,482.24,
M0,1,18.34,336.36,
M0,1,18.93,358.34,
M0,1,16.1,259.21,
M0,1,17.75,315.06,
M0,1,21.96,482.24,
M0,1,17.99,323.64,
M0,1,20.27,410.87,
M0,1,15.31,234.40,
M0,1,23.22,539.17,
M0,1,19.96,398.40,
M0,1,19.09,364.43,
M0,1,18.03,325.08,
M0,1,23.26,541.03,
M0,1,19.01,361.38,
M0,1,20.35,414.12,
M0,1,22.04,485.76,
M0,1,20.47,419.02,
M0,1,17.79,316.48,
M0,1,18.97,359.86,
M0,1,16.57,274.56,
M0,1,17.71,313.64,
M0,1,16.57,274.56,
M0,1,19.4,376.36,
M0,1,20.03,401.20,
M0,1,20.47,419.02,
M0,1,19.37,375.20,
M0,1,19.44,377.91,
M0,1,14.92,222.61,
M0,1,21.96,482.24,
M0,1,19.64,385.73,
F0,1,24.72,611.08,
M0,1,23.42,548.50,
M0,1,20.07,402.80,
M0,1,19.88,395.21,
M0,1,22.16,491.07,
M0,1,22.55,508.50,
M0,1,24.09,580.33,
F0,1,25.98,674.96,
M0,1,20.43,417.38,
M0,1,19.21,369.02,
0F,1,24.21,586.12,
0F,1,21.96,482.24,
0F,1,21.81,475.68,
0F,1,22.95,526.70,
0U,1,25.43,646.68,
0U,1,17,289.00,
0F,1,25.9,670.81,
0F,1,21.25,451.56,
0F,1,25.27,638.57,
0F,1,24.76,613.06,
0F,1,23.46,550.37,
0F,1,24.8,615.04,
0F,1,21.1,445.21,
0M,1,21.37,456.68,
0U,1,27.32,746.38,
0U,1,22.2,492.84,
0M,1,20.55,422.30,
0U,1,25.86,668.74,
0F,1,24.72,611.08,
0F,1,20.39,415.75,
0M,1,17.59,309.41,
0U,1,18.74,351.19,
0U,1,21.81,475.68,
0U,1,23.3,542.89,
0U,1,21.45,460.10,
0M,1,21.33,454.97,
0F,1,20.35,414.12,
0U,1,19.96,398.40,
0F,1,24.92,621.01,
0U,1,21.81,475.68,
0F,1,22.24,494.62,
0F,1,20.74,430.15,
0M,1,18.42,339.30,
0F,1,22.59,510.31,
0F,1,23.42,548.50,
0M,1,18.5,342.25,
0F,1,25.15,632.52,
0U,1,21.85,477.42,
0U,1,23.89,570.73,
0U,1,19.88,395.21,
0F,1,20.9,436.81,
0F,1,22.51,506.70,
0F,1,20.47,419.02,
0M,1,21.57,465.26,
0U,1,19.33,373.65,
0F,1,20.51,420.66,
0F,1,21.06,443.52,
0F,1,21.53,463.54,
0U,1,20.47,419.02,
0M,1,20.51,420.66,
0U,1,19.88,395.21,
0F,1,23.38,546.62,
0U,1,18.66,348.20,
0U,1,15.03,225.90,
0U,1,20.43,417.38,
0U,1,22.87,523.04,
0F,1,23.97,574.56,
0F,1,21.73,472.19,
0F,1,23.77,565.01,
0F,1,23.22,539.17,
0F,1,24.4,595.36,
0U,1,22.2,492.84,
0F,1,24.88,619.01,
0F,1,20.66,426.84,
0F,1,23.14,535.46,
0U,1,25.23,636.55,
0U,1,21.57,465.26,
0U,1,17.59,309.41,
0F,1,25.62,656.38,
0F,1,20.51,420.66,
0F,1,23.74,563.59,
0F,1,23.26,541.03,
0F,1,19.92,396.81,
0F,1,20.07,402.80,
0F,1,22.67,513.93,
0M,1,17.71,313.64,
0M,1,22.12,489.29,
0U,1,24.44,597.31,
0F,1,21.22,450.29,
0U,1,27.24,742.02,
0F,1,25.27,638.57,
0F,1,20.15,406.02,
0U,1,22.2,492.84,
0F,1,23.34,544.76,
0F,1,24.52,601.23,
0U,1,23.34,544.76,
0M,1,23.22,539.17,
0U,1,21.29,453.26,
0F,1,19.4,376.36,
0U,1,20.7,428.49,
0U,1,19.6,384.16,
0U,1,17.59,309.41,
0M,1,20.9,436.81,
0U,1,18.3,334.89,
0F,1,19.01,361.38,
0U,1,21.61,466.99,
0M,1,17.79,316.48,
0U,1,22.71,515.74,
0F,1,17.79,316.48,
0F,1,23.85,568.82,
0U,1,26.85,720.92,
0U,1,27.71,767.84,
0U,1,20.74,430.15,
0U,1,19.64,385.73,
0U,1,23.14,535.46,
0F,1,25.15,632.52,
0U,1,17.71,313.64,
0F,1,24.21,586.12,
0U,1,21.73,472.19,
0F,1,24.6,605.16,
0F,1,23.77,565.01,
0F,1,24.92,621.01,
0F,1,26.06,679.12,
0F,1,20.82,433.47,
0M,1,21.77,473.93,
0U,1,19.92,396.81,
0F,1,22.63,512.12,
0U,1,21.81,475.68,
0U,1,21.85,477.42,
0F,1,20.66,426.84,
0U,1,22.48,505.35,
0U,1,21.65,468.72,
0F,1,23.62,557.90,
0M,1,22.67,513.93,
0U,1,21.41,458.39,
0U,1,21.85,477.42,
0U,1,19.88,395.21,
0U,1,18.89,356.83,
0F,1,18.11,327.97,
0U,1,21.06,443.52,
0F,1,23.03,530.38,
0U,1,20.47,419.02,
0U,1,21.29,453.26,
0F,1,22.08,487.53,
0U,1,21.29,453.26,
0U,1,20.47,419.02,
0U,1,23.54,554.13,
0F,1,19.68,387.30,
0U,1,21.18,448.59,
0U,1,20.62,425.18,
0U,1,25.82,666.67,
0F,1,22.63,512.12,
0F,1,23.46,550.37,
0U,1,19.01,361.38,
0U,1,24.4,595.36,
0F,1,25.98,674.96,
0F,1,22.04,485.76,
0U,1,18.66,348.20,
0F,1,19.29,372.10,
0F,1,22.4,501.76,
0F,1,20.94,438.48,
0U,1,21.14,446.90,
0F,1,20.07,402.80,
0F,1,21.49,461.82,
0U,1,21.92,480.49,
0U,1,23.34,544.76,
0U,1,26.06,679.12,
0U,1,17.79,316.48,
0U,1,18.89,356.83,
0U,1,19.21,369.02,
0F,1,19.25,370.56,
0F,1,23.42,548.50,
0F,1,23.07,532.22,
0M,1,15.55,241.80,
0U,1,16.18,261.79,
